Timestamp,stock_volume,Price,amount_volume
2019/11/28,1256234,14290559.12,6700596119
2019/11/27,1590777,18009423.26,6688778489
2019/11/26,1225459,13761544.87,6606055081
2019/11/25,2435894,27526643.73,6665143230
2019/11/22,1418997,16455238.72,6812863603
2019/11/21,1244480,14451996.2,6907404641
2019/11/20,1451358,16923028.71,6860134122
2019/11/19,2528290,29828508.8,6990128050
2019/11/18,3367563,39744964.99,7102395534
2019/11/15,2360470,27010925.5,6712413749
2019/11/14,1195423,13931258.68,6860134122
2019/11/13,1299144,15169924.36,6901495827
2019/11/12,1688230,19711202.07,6895587012
2019/11/11,2401957,28387172.87,7007854495
2019/11/8,1894435,22576781.4,7007854495
2019/11/7,2484917,29554155.2,7084669089
2019/11/6,2919587,34374632.61,6883769382
2019/11/5,3271306,37986373.6,6860134122
2019/11/4,4007521,46802454.69,6871951752
2019/11/1,4777019,56931526.43,6990128050
2019/10/31,2099155,25776051.61,7196936573
2019/10/30,1296938,16173006.51,7350565760
2019/10/29,3046572,38162790.71,7409653910
2019/10/28,3418320,43391268.54,7504194948
2019/10/25,3823323,48667245.52,7545556653
2019/10/24,1787891,22480825.3,7462833244
2019/10/23,1931050,24206975.7,7391927465
2019/10/22,4122446,51279608.75,7427380354
2019/10/21,2422092,29069343.72,7149666053
2019/10/18,1737963,21191649.45,7232389462
2019/10/17,1469302,18037237.62,7261933537
2019/10/16,1617437,19777548.49,7196936573
2019/10/15,1689560,20777262.33,7256024722
2019/10/14,2628598,32720572.47,7326930501
2019/10/11,3101239,38812134.38,7362383390
2019/10/10,1873681,23094754.68,7267842352
2019/10/9,2010183,24601496.9,7291477611
2019/10/8,1567222,19199539.57,7191027758
2019/9/30,2254432,27654421.4,7208754202
2019/9/27,1284372,15665856.79,7155574868
2019/9/26,2025795,24883368.75,7208754202
2019/9/25,1232161,15442937.01,7368292205
2019/9/24,1300223,16553169.06,7451015614
2019/9/23,1646668,20840002.12,7539647838
2019/9/20,1430105,18364007.25,7563283098
2019/9/19,1506057,19332820.24,7616462432
2019/9/18,1968620,25145917.63,7569191913
2019/9/17,1972454,25298660.23,7557374283
2019/9/16,2028763,26326607.55,7705094656
2019/9/12,1331685,17213957.35,7646006506
2019/9/11,2082040,27099688.17,7657824136
2019/9/10,3629515,47296315.13,7758273990
2019/9/9,3099209,39808336.73,7634188877
2019/9/6,2426548,30839525.46,7456924429
2019/9/5,3217425,41380430.13,7539647838
2019/9/4,1358714,17362443.79,7545556653
2019/9/3,2302227,29427386.56,7557374283
2019/9/2,2020022,25458344.2,7474650874
2019/8/30,1532958,19074103.95,7291477611
2019/8/29,1288975,16114035.8,7368292205
2019/8/28,1582353,19856131.08,7456924429
2019/8/27,1325378,16578841.22,7315112871
2019/8/26,1197882,14718313.3,7326930501
2019/8/23,891071,11093506.36,7350565760
2019/8/22,1180633,14549851.86,7374201020
2019/8/21,1281961,15638677.14,7196936573
2019/8/20,1464871,17993058.63,7244207092
2019/8/19,2675230,32215775.25,7208754202
2019/8/16,2087534,24517741.31,6931039901
